epoch,phase,loss,acc,auc,f1,lr,elapsed_s
1,train,0.45157922528279193,0.7922826700948596,0.8626550456262351,0.7297105489937649,0.007046141491770459,82.19956612586975
1,val,0.3497420622823947,0.8490940492061568,0.9205815690829794,0.8113339773093168,0.007046141491770459,10.77730941772461
2,train,0.34610595464430877,0.8509385327593707,0.9220455957629803,0.8127528383139763,0.005098912274555532,82.46209979057312
2,val,0.27444124895433214,0.884195855047873,0.9535694518873608,0.8606533469447281,0.005098912274555532,10.526262760162354
3,train,0.2885843079366607,0.8802015361940565,0.9455563021301454,0.848879970514763,0.002692004594304178,82.32942199707031
3,val,0.24218755315728743,0.9027239122530603,0.9621448691954961,0.8750851117639048,0.002692004594304178,10.622827768325806
4,train,0.25455041960802555,0.8979982729179247,0.9569345138277039,0.8712252860749533,0.0007447753770892507,82.39917325973511
4,val,0.21559806779585033,0.9142528178402618,0.9693629628541762,0.8939161075083405,0.0007447753770892507,10.467384338378906
5,train,0.23088976752195559,0.9088736957608575,0.9641843997462188,0.8850918201095456,1e-06,82.35069823265076
5,val,0.20084047604475494,0.9210398739546721,0.9739662021920177,0.9032736990572341,1e-06,10.597799301147461
