Classifier,Accuracy,AUC-ROC,F1
Random Forest,0.761,0.838832,0.7543679342240494
Gradient Boosting,0.757,0.8375319999999999,0.7532994923857868
SVM (RBF),0.745,0.821356,0.7472745292368682
Logistic Regression,0.75,0.811476,0.7553816046966731
K-Nearest Neighbors,0.685,0.751036,0.7112740604949588
