Classifier,Accuracy,AUC-ROC,F1
Gradient Boosting,0.802,0.890136,0.8004032258064516
Random Forest,0.808,0.885996,0.8020618556701031
SVM (RBF),0.799,0.8720959999999999,0.7992007992007992
Logistic Regression,0.783,0.8651200000000001,0.7836490528414756
K-Nearest Neighbors,0.735,0.7999799999999999,0.7424684159378037
