Classifier,Accuracy,AUC-ROC,F1
Random Forest,0.819,0.910958,0.8158697863682605
SVM (RBF),0.813,0.899292,0.8101522842639594
Gradient Boosting,0.808,0.8987160000000001,0.806841046277666
Logistic Regression,0.794,0.875936,0.7948207171314741
K-Nearest Neighbors,0.788,0.8623780000000001,0.7953667953667953
