epoch,phase,loss,acc,auc,f1,lr,elapsed_s
1,train,0.49600974398733977,0.7686828812216754,0.8318093549228041,0.7052135995432619,0.0009046039886902864,4.71700656414032
1,val,0.4876559083244466,0.7714973942552418,0.8410769723262468,0.725977871845648,0.0009046039886902864,0.4584764242172241
2,train,0.4943989185466243,0.7691568517965433,0.8328758150361912,0.7050537563047518,0.0006548539886902863,4.8448814153671265
2,val,0.4880846139084656,0.7723154769118895,0.841076320398919,0.7246578605060183,0.0006548539886902863,0.45005953311920166
3,train,0.4936754136662663,0.7690789388253321,0.8333402752449356,0.7042574422085481,0.0003461460113097138,4.727558970451355
3,val,0.49280790797711405,0.7711944006787056,0.841076509929289,0.72641970835975,0.0003461460113097138,0.4701918363571167
4,train,0.49292713179030145,0.769189315534548,0.8337682081549878,0.7046223130676106,9.639601130971379e-05,4.947957515716553
4,val,0.48956067522588376,0.7709671554963035,0.8410771628090308,0.7275446943483276,9.639601130971379e-05,0.46868467330932617
5,train,0.49221432507603136,0.7694879819241907,0.8341379010279688,0.7051074398013174,1e-06,4.864436388015747
5,val,0.48867190335681404,0.7715428432917222,0.8410773266242249,0.7259477337985679,1e-06,0.47526490688323975
