epoch,phase,loss,acc,auc,f1,lr,elapsed_s
1,train,0.4859546512358762,0.772604500772637,0.8391859780455775,0.7083579678405183,0.0009046039886902864,4.648718357086182
1,val,0.518061670705761,0.747939643679554,0.8183624179829349,0.6483195941661383,0.0009046039886902864,0.35710811614990234
2,train,0.48214916490025816,0.7738576010596164,0.842031645396865,0.7121677905593019,0.0006548539886902863,4.392837643623352
2,val,0.5237601028292298,0.7451369530965943,0.8183626579912426,0.635558155152618,0.0006548539886902863,0.36740612983703613
3,train,0.48136566426419664,0.7748509914425586,0.842642068467967,0.7140253506956185,0.0003461460113097138,4.466044306755066
3,val,0.5183765697412066,0.747939643679554,0.8183630951492316,0.6479624222419703,0.0003461460113097138,0.364422082901001
4,train,0.48029492814352875,0.7742147021776675,0.8433057534752286,0.7130373072130579,9.639601130971379e-05,4.478465795516968
4,val,0.5184090241072843,0.747939643679554,0.8183632970609827,0.6479624222419703,9.639601130971379e-05,0.36675524711608887
5,train,0.4798000804984832,0.7746691945097326,0.843602394637239,0.7144115008928498,1e-06,4.063781380653381
5,val,0.5172878321341032,0.747939643679554,0.8183628727605814,0.6479624222419703,1e-06,0.3568260669708252
