epoch,phase,loss,acc,auc,f1,lr,elapsed_s
1,train,0.6767316516549985,0.5943461153891104,0.501084867908467,0.004968944099378882,0.0009046039886902864,3.8655927181243896
1,val,0.6744344958737754,0.5949733365652649,0.5117467651773147,0.0,0.0009046039886902864,0.34642040729522705
2,train,0.6755962591521019,0.5949499409159968,0.5032172330692051,0.0,0.0006548539886902863,3.740891218185425
2,val,0.6744158961472114,0.5949733365652649,0.5299148954827394,0.0,0.0006548539886902863,0.3410536050796509
3,train,0.6751905316172397,0.5949694191587996,0.504872578624392,0.0,0.0003461460113097138,4.033946990966797
3,val,0.6747788349190216,0.5949733365652649,0.5232382281841935,0.0,0.0003461460113097138,0.3457852602005005
4,train,0.6749724054072925,0.5949694191587996,0.5056848888167358,0.0,9.639601130971379e-05,3.973268747329712
4,val,0.6744757972367821,0.5949733365652649,0.5157194264976724,0.0,9.639601130971379e-05,0.3454914093017578
5,train,0.6749156453411509,0.5949694191587996,0.5046999586850337,0.0,1e-06,3.951552629470825
5,val,0.6744154012935724,0.5949733365652649,0.5264818276019279,0.0,1e-06,0.3458818197250366
