epoch,phase,loss,acc,auc,f1,lr,elapsed_s
1,train,0.5010037942529831,0.7653001597215909,0.8270436234490286,0.6944068713648045,0.0009046039886902864,6.606691598892212
1,val,0.4878538064256811,0.7758908011150164,0.841289493968246,0.6919729307652265,0.0009046039886902864,0.3511054515838623
2,train,0.4940733631349628,0.7715526756612864,0.832525996606146,0.7066767817395146,0.0006548539886902863,4.2819823026657104
2,val,0.4885955993052238,0.772194279481275,0.8412897039755153,0.6778637074487457,0.0006548539886902863,0.3482102155685425
3,train,0.4925562144850577,0.7713838642236621,0.8334323159696768,0.7071046524202068,0.0003461460113097138,4.289768218994141
3,val,0.48723803220582923,0.7770876257423343,0.8412893477727094,0.6968310874850621,0.0003461460113097138,0.34723520278930664
4,train,0.491527209800545,0.7718578347985301,0.8341683704447511,0.7085144506752497,9.639601130971379e-05,4.329996109008789
4,val,0.48662060569082805,0.7765573869833959,0.8412894082509932,0.6943529167961869,9.639601130971379e-05,0.34841108322143555
5,train,0.4912025027583585,0.771676037865704,0.834465625975472,0.7080739154256114,1e-06,4.243723273277283
5,val,0.4879212110165523,0.7750272694218883,0.8412893430106396,0.6880121013487962,1e-06,0.34805190563201904
