epoch,phase,loss,acc,auc,f1,lr,elapsed_s
1,train,0.5354531430665146,0.7394525315222896,0.7987201350838935,0.6642458521239301,0.0009046039886902864,4.519428014755249
1,val,0.5500164346692924,0.7211095624772755,0.7845983992655441,0.6124013054005685,0.0009046039886902864,0.35752296447753906
2,train,0.5333281631708675,0.7399135166019556,0.7995549460929312,0.6654249632500334,0.0006548539886902863,4.503572225570679
2,val,0.5513465230052593,0.7207459701854321,0.7846078738792154,0.6106992755918815,0.0006548539886902863,0.35592472553253174
3,train,0.5325955531370945,0.7405043566336402,0.8000065325482137,0.6662324105390621,0.0003461460113097138,5.013566732406616
3,val,0.552325768559474,0.7168222033692886,0.7846144312490512,0.5903931279309287,0.0003461460113097138,0.36428844928741455
4,train,0.5312680716601832,0.7403680089340207,0.800927293424997,0.6647945412174963,9.639601130971379e-05,4.49796998500824
4,val,0.5514362830456033,0.719564295236941,0.7846136688417087,0.6044911650962546,9.639601130971379e-05,0.35781073570251465
5,train,0.5306027213472855,0.7404654001480346,0.8014406751914089,0.6656685708550447,1e-06,4.44007670879364
5,val,0.5510774501532212,0.7201702823900133,0.7846297189210801,0.6074593560726809,1e-06,0.35740959644317627
