epoch,phase,loss,acc,auc,f1,lr,elapsed_s
1,train,0.49274681292073824,0.7711760963004324,0.833821418922911,0.7075293980962813,0.0009046039886902864,5.722965955734253
1,val,0.4880927250686811,0.7765270876257423,0.841361601226092,0.6942481086122915,0.0009046039886902864,0.3607128858566284
2,train,0.49161287249361396,0.7724616603254165,0.8347361228799223,0.7083641931645127,0.0006548539886902863,4.308487892150879
2,val,0.48935165844380013,0.7719973336565265,0.8413623664906764,0.6773156089193825,0.0006548539886902863,0.3561304807662964
3,train,0.49050607860446704,0.7722473996545858,0.8352646747602929,0.7073516652205833,0.0003461460113097138,4.620380520820618
3,val,0.48767071908538295,0.7748757726336202,0.8413635960570464,0.6880641504681136,0.0003461460113097138,0.35254478454589844
4,train,0.4900867905655491,0.7728057759482658,0.835510137451788,0.7081519291397688,9.639601130971379e-05,4.49719500541687
4,val,0.4861047720998696,0.7753454126772512,0.8413631817569914,0.6892172272870166,9.639601130971379e-05,0.3570213317871094
5,train,0.4898104649097349,0.7724681530730174,0.8358097212684871,0.7079131174048575,1e-06,4.561134696006775
5,val,0.4871384283854389,0.7743303841958551,0.8413618131381891,0.6860695468914647,1e-06,0.3543548583984375
