epoch,phase,loss,acc,auc,f1,lr,elapsed_s
1,train,0.5149895345534361,0.7560674726330688,0.8153659246375958,0.6796609880459065,0.0009046039886902864,4.3941779136657715
1,val,0.49981773390493717,0.7670130893225063,0.8330670193531604,0.7155881863406875,0.0009046039886902864,0.3456927537918091
2,train,0.5085510404794027,0.7597163967847914,0.8205713469574535,0.6891494615888588,0.0006548539886902863,4.23471987247467
2,val,0.4973949885429028,0.7682705126651315,0.8330660364619954,0.7067709531477647,0.0006548539886902863,0.34407520294189453
3,train,0.5070870240819885,0.7609759898193718,0.8218827236179407,0.6915200268141445,0.0003461460113097138,4.2036097049713135
3,val,0.4952067411815654,0.7682099139498243,0.8330672336462922,0.692931401276442,0.0003461460113097138,0.34622740745544434
4,train,0.506320056138857,0.7609175550909634,0.8222667930161403,0.6911728938650564,9.639601130971379e-05,4.234210252761841
4,val,0.4970539823822824,0.7688007514240698,0.8330664931444699,0.7010402178384626,9.639601130971379e-05,0.3441423177719116
5,train,0.5058716502737269,0.761047410042982,0.8226224294059177,0.6905516644104565,1e-06,4.257021427154541
5,val,0.4949814518312009,0.7685886559204945,0.8330668888724534,0.6970508319946054,1e-06,0.34446728229522705
