epoch,phase,loss,acc,auc,f1,lr,elapsed_s
1,train,0.4545714110136032,0.7886848958333333,0.8613911585126082,0.7307596595716442,0.0009046039886902864,402.9986608028412
1,val,0.39869403480443216,0.8196279238880135,0.9045003644974444,0.7882323645548006,0.0009046039886902864,78.25134658813477
2,train,0.37897147754828137,0.8311458333333334,0.9066681389108623,0.787604821802935,0.0006548539886902863,194.78379607200623
2,val,0.33181309259713687,0.855259968488668,0.9324750924198595,0.8033589923023093,0.0006548539886902863,54.992528676986694
3,train,0.32725256303946176,0.8600911458333333,0.9308277992262259,0.8241263605859727,0.0003461460113097138,202.50161838531494
3,val,0.3153240364069737,0.8647133680765968,0.9499673201939991,0.8080147912456465,0.0003461460113097138,57.04735445976257
4,train,0.29122490098079046,0.8791927083333333,0.9446455677431982,0.8470390398311791,9.639601130971379e-05,215.29903173446655
4,val,0.24264790082523974,0.9010422979032845,0.9607203253680439,0.8723520675369343,9.639601130971379e-05,56.87803268432617
5,train,0.2726196423172951,0.8889713541666666,0.9511526038998313,0.8601053270552721,1e-06,190.140953540802
5,val,0.21737931904258503,0.9137377287601502,0.9683886534062665,0.8907479181856556,1e-06,55.5933198928833
