epoch,phase,loss,acc,auc,f1,lr,elapsed_s
1,train,1.528319251024515,0.7948618038237739,0.8614713443149573,0.7344475082386173,0.0009046039886902864,301.19882011413574
1,val,0.3273943396008184,0.8619258271724639,0.9349746017355246,0.8044122065324693,0.0009046039886902864,60.727168798446655
2,train,0.3211057142525639,0.8674927265170407,0.9316413237570567,0.8321763447935516,0.0006548539886902863,300.973281621933
2,val,0.2596587303002348,0.8994061325899891,0.9546753561359387,0.8703530146829116,0.0006548539886902863,60.79958534240723
3,train,0.2792219316288024,0.8883780133000831,0.9477364807793192,0.8591055151157453,0.0003461460113097138,300.4912950992584
3,val,0.22336409332253487,0.9133438371106533,0.9660682171221623,0.8865979381443299,0.0003461460113097138,89.81284642219543
4,train,0.24085911235780588,0.9058473607647548,0.960719194635314,0.8806100433157106,9.639601130971379e-05,300.63038516044617
4,val,0.19642785608898494,0.9254635801721004,0.9751636588939823,0.9079548005687346,9.639601130971379e-05,59.887887716293335
5,train,0.21678292061374868,0.9172121778886118,0.9677367707028987,0.8960433180024138,1e-06,300.3059470653534
5,val,0.18658128077912195,0.9300387831777966,0.977326432263244,0.9134200757433725,1e-06,61.99541187286377
