epoch,phase,loss,acc,auc,f1,lr,elapsed_s
1,train,0.6789410424232483,0.7254557291666667,0.7875335342406614,0.6187505650483681,0.0009046039886902864,197.6225507259369
1,val,0.47379784089711896,0.7930250878681372,0.8597180567555158,0.717948717948718,0.0009046039886902864,56.14966082572937
2,train,0.46568640808264417,0.7874088541666666,0.853896684733382,0.7366740319016821,0.0006548539886902863,206.59859371185303
2,val,0.4261606294282956,0.8089928493515938,0.8808444383147118,0.7531908229582648,0.0006548539886902863,56.18536877632141
3,train,0.44670855879783633,0.7961197916666667,0.8666746188246285,0.7440583216188826,0.0003461460113097138,218.10572338104248
3,val,0.4221910720246587,0.8121742819052236,0.8924436236564268,0.7764273091210733,0.0003461460113097138,55.34597134590149
4,train,0.4257519139846166,0.8075651041666667,0.8797121098388865,0.7571280669175527,9.639601130971379e-05,210.3178915977478
4,val,0.40834174316849164,0.8089019512786328,0.8998794231141978,0.7799909303380194,9.639601130971379e-05,54.99400997161865
5,train,0.4035194778442383,0.8187890625,0.8934736692133329,0.7734752673470384,1e-06,211.4710259437561
5,val,0.37984757518178836,0.8304447945703551,0.9097117626971069,0.7965830607051981,1e-06,55.81575536727905
