epoch,phase,loss,acc,auc,f1,lr,elapsed_s
1,train,0.4071073499279823,0.8214749584372403,0.891838972365117,0.7688944934846574,0.0009046039886902864,1023.7178649902344
1,val,0.29986386623271033,0.8740152708762574,0.9419228428691184,0.831945679411527,0.0009046039886902864,323.43281960487366
2,train,0.2986477873445251,0.8760650457190358,0.941913098139243,0.8398240784261062,0.0006548539886902863,1044.7982530593872
2,val,0.2945007539372663,0.89346745848988,0.9584627245759784,0.8719312304217964,0.0006548539886902863,323.2581207752228
3,train,0.2596070865975849,0.8966386118038238,0.95518857354638,0.8671940188912253,0.0003461460113097138,1045.8309350013733
3,val,0.22372513208883688,0.9102533026299843,0.9704743446230474,0.8783073130649137,0.0003461460113097138,322.38992524147034
4,train,0.2277540829240136,0.9108868453865336,0.9651657172444064,0.8857166652785875,9.639601130971379e-05,1050.017374753952
4,val,0.1898632594010076,0.9295539934553387,0.9752400837434599,0.9088199537236754,9.639601130971379e-05,322.8258557319641
5,train,0.20493236198674514,0.9220048836242727,0.9715735092721861,0.9009843850479001,1e-06,1050.2735407352448
5,val,0.16215908540016144,0.9417040358744395,0.9814747632333438,0.9253279515640767,1e-06,322.7513768672943
