epoch,phase,loss,acc,auc,f1,lr,elapsed_s
1,train,0.4697470389046723,0.7832187355941227,0.8510158977388356,0.7229395558801075,8.03843307580471e-05,68.63515043258667
1,val,0.41187474314710787,0.8158102048236577,0.9015569562738817,0.7859959163556995,8.03843307580471e-05,10.681311130523682
2,train,0.39960410690885334,0.8223442866696533,0.8950810696262683,0.7744902500535711,5.844304137135562e-05,68.90757465362549
2,val,0.3705171106468763,0.8312325778693491,0.9233188033541979,0.8090045605733293,5.844304137135562e-05,10.497982263565063
3,train,0.3607716947027506,0.8416019010888408,0.9152891184665669,0.8000098371944322,3.1322116175410284e-05,68.29616618156433
3,val,0.32217471857256436,0.8609865470852018,0.9388595122371166,0.815014918151762,3.1322116175410284e-05,10.761234521865845
4,train,0.3285432223407435,0.8573988585675607,0.9301191925741843,0.8208637494392561,9.380826788718813e-06,68.29741597175598
4,val,0.29604720129863865,0.874363713489274,0.9445044676332155,0.8451440628909678,9.380826788718813e-06,10.569086790084839
5,train,0.30715434314506984,0.8685534713700436,0.9390069107210377,0.8348304248150051,1e-06,68.8693196773529
5,val,0.27376930940990635,0.8857259726093807,0.9516641445079355,0.8576926705027828,1e-06,10.701728820800781
